name,lat,lon
,-31.0,122.0
,-31.0,122.25
,-31.0,122.5
,-31.0,122.75
,-31.0,123.0
,-31.0,123.25
,-31.0,123.5
,-31.0,123.75
,-31.0,124.0
,-31.25,113.0
,-31.25,113.25
,-31.25,113.5
,-31.25,113.75
,-31.25,114.0
,-31.25,114.25
,-31.25,114.5
,-31.25,114.75
,-31.25,115.0
,-31.25,115.25
,-31.25,115.5
,-31.25,115.75
,-31.25,116.0
,-31.25,116.25
,-31.25,116.5
,-31.25,116.75
,-31.25,117.0
,-31.25,117.25
,-31.25,117.5
,-31.25,117.75
,-31.25,118.0
,-31.25,118.25
,-31.25,118.5
,-31.25,118.75
,-31.25,119.0
,-31.25,119.25
,-31.25,119.5
,-31.25,119.75
,-31.25,120.0
,-31.25,120.25
,-31.25,120.5
,-31.25,120.75
,-31.25,121.0
,-31.25,121.25
,-31.25,121.5
,-31.25,121.75
,-31.25,122.0
,-31.25,122.25
,-31.25,122.5
,-31.25,122.75
,-31.25,123.0
,-31.25,123.25
,-31.25,123.5
,-31.25,123.75
,-31.25,124.0
,-31.5,113.0
,-31.5,113.25
,-31.5,113.5
,-31.5,113.75
,-31.5,114.0
,-31.5,114.25
,-31.5,114.5
,-31.5,114.75
,-31.5,115.0
,-31.5,115.25
,-31.5,115.5
,-31.5,115.75
,-31.5,116.0
,-31.5,116.25
,-31.5,116.5
,-31.5,116.75
,-31.5,117.0
,-31.5,117.25
,-31.5,117.5
,-31.5,117.75
,-31.5,118.0
,-31.5,118.25
,-31.5,118.5
,-31.5,118.75
,-31.5,119.0
,-31.5,119.25
,-31.5,119.5
,-31.5,119.75
,-31.5,120.0
,-31.5,120.25
,-31.5,120.5
,-31.5,120.75
,-31.5,121.0
,-31.5,121.25
,-31.5,121.5
,-31.5,121.75
,-31.5,122.0
,-31.5,122.25
,-31.5,122.5
,-31.5,122.75
,-31.5,123.0
,-31.5,123.25
,-31.5,123.5
,-31.5,123.75
,-31.5,124.0
,-31.75,113.0
,-31.75,113.25
,-31.75,113.5
,-31.75,113.75
,-31.75,114.0
,-31.75,114.25
,-31.75,114.5
,-31.75,114.75
,-31.75,115.0
,-31.75,115.25
,-31.75,115.5
,-31.75,115.75
,-31.75,116.0
,-31.75,116.25
,-31.75,116.5
,-31.75,116.75
,-31.75,117.0
,-31.75,117.25
,-31.75,117.5
,-31.75,117.75
,-31.75,118.0
,-31.75,118.25
,-31.75,118.5
,-31.75,118.75
,-31.75,119.0
,-31.75,119.25
,-31.75,119.5
,-31.75,119.75
,-31.75,120.0
,-31.75,120.25
,-31.75,120.5
,-31.75,120.75
,-31.75,121.0
,-31.75,121.25
,-31.75,121.5
,-31.75,121.75
,-31.75,122.0
,-31.75,122.25
,-31.75,122.5
,-31.75,122.75
,-31.75,123.0
,-31.75,123.25
,-31.75,123.5
,-31.75,123.75
,-31.75,124.0
,-32.0,113.0
,-32.0,113.25
,-32.0,113.5
,-32.0,113.75
,-32.0,114.0
,-32.0,114.25
,-32.0,114.5
,-32.0,114.75
,-32.0,115.0
,-32.0,115.25
,-32.0,115.5
,-32.0,115.75
,-32.0,116.0
,-32.0,116.25
,-32.0,116.5
,-32.0,116.75
,-32.0,117.0
,-32.0,117.25
,-32.0,117.5
,-32.0,117.75
,-32.0,118.0
,-32.0,118.25
,-32.0,118.5
,-32.0,118.75
,-32.0,119.0
,-32.0,119.25
,-32.0,119.5
,-32.0,119.75
,-32.0,120.0
,-32.0,120.25
,-32.0,120.5
,-32.0,120.75
,-32.0,121.0
,-32.0,121.25
,-32.0,121.5
,-32.0,121.75
,-32.0,122.0
,-32.0,122.25
,-32.0,122.5
,-32.0,122.75
,-32.0,123.0
,-32.0,123.25
,-32.0,123.5
,-32.0,123.75
,-32.0,124.0
,-32.25,113.0
,-32.25,113.25
,-32.25,113.5
,-32.25,113.75
,-32.25,114.0
,-32.25,114.25
,-32.25,114.5
,-32.25,114.75
,-32.25,115.0
,-32.25,115.25
,-32.25,115.5
,-32.25,115.75
,-32.25,116.0
,-32.25,116.25
,-32.25,116.5
,-32.25,116.75
,-32.25,117.0
,-32.25,117.25
,-32.25,117.5
,-32.25,117.75
,-32.25,118.0
,-32.25,118.25
,-32.25,118.5
,-32.25,118.75
,-32.25,119.0
,-32.25,119.25
,-32.25,119.5
,-32.25,119.75
,-32.25,120.0
,-32.25,120.25
,-32.25,120.5
,-32.25,120.75
,-32.25,121.0
,-32.25,121.25
,-32.25,121.5
,-32.25,121.75
,-32.25,122.0
,-32.25,122.25
,-32.25,122.5
,-32.25,122.75
,-32.25,123.0
,-32.25,123.25
,-32.25,123.5
,-32.25,123.75
,-32.25,124.0
,-32.5,113.0
,-32.5,113.25
,-32.5,113.5
,-32.5,113.75
,-32.5,114.0
,-32.5,114.25
,-32.5,114.5
,-32.5,114.75
,-32.5,115.0
,-32.5,115.25
,-32.5,115.5
,-32.5,115.75
,-32.5,116.0
,-32.5,116.25
,-32.5,116.5
,-32.5,116.75
,-32.5,117.0
,-32.5,117.25
,-32.5,117.5
,-32.5,117.75
,-32.5,118.0
,-32.5,118.25
,-32.5,118.5
,-32.5,118.75
,-32.5,119.0
,-32.5,119.25
,-32.5,119.5
,-32.5,119.75
,-32.5,120.0
,-32.5,120.25
,-32.5,120.5
,-32.5,120.75
,-32.5,121.0
,-32.5,121.25
,-32.5,121.5
,-32.5,121.75
,-32.5,122.0
,-32.5,122.25
,-32.5,122.5
,-32.5,122.75
,-32.5,123.0
,-32.5,123.25
,-32.5,123.5
,-32.5,123.75
,-32.5,124.0
,-32.75,113.0
,-32.75,113.25
,-32.75,113.5
,-32.75,113.75
,-32.75,114.0
,-32.75,114.25
,-32.75,114.5
,-32.75,114.75
,-32.75,115.0
,-32.75,115.25
,-32.75,115.5
,-32.75,115.75
,-32.75,116.0
,-32.75,116.25
,-32.75,116.5
,-32.75,116.75
,-32.75,117.0
,-32.75,117.25
,-32.75,117.5
,-32.75,117.75
,-32.75,118.0
,-32.75,118.25
,-32.75,118.5
,-32.75,118.75
,-32.75,119.0
,-32.75,119.25
,-32.75,119.5
,-32.75,119.75
,-32.75,120.0
,-32.75,120.25
,-32.75,120.5
,-32.75,120.75
,-32.75,121.0
,-32.75,121.25
,-32.75,121.5
,-32.75,121.75
,-32.75,122.0
,-32.75,122.25
,-32.75,122.5
,-32.75,122.75
,-32.75,123.0
,-32.75,123.25
,-32.75,123.5
,-32.75,123.75
,-32.75,124.0
,-33.0,113.0
,-33.0,113.25
,-33.0,113.5
,-33.0,113.75
,-33.0,114.0
,-33.0,114.25
,-33.0,114.5
,-33.0,114.75
,-33.0,115.0
,-33.0,115.25
,-33.0,115.5
,-33.0,115.75
,-33.0,116.0
,-33.0,116.25
,-33.0,116.5
,-33.0,116.75
,-33.0,117.0
,-33.0,117.25
,-33.0,117.5
,-33.0,117.75
,-33.0,118.0
,-33.0,118.25
,-33.0,118.5
,-33.0,118.75
,-33.0,119.0
,-33.0,119.25
,-33.0,119.5
,-33.0,119.75
,-33.0,120.0
,-33.0,120.25
,-33.0,120.5
,-33.0,120.75
,-33.0,121.0
,-33.0,121.25
,-33.0,121.5
,-33.0,121.75
,-33.0,122.0
,-33.0,122.25
,-33.0,122.5
,-33.0,122.75
,-33.0,123.0
,-33.0,123.25
,-33.0,123.5
,-33.0,123.75
,-33.0,124.0
,-33.25,113.0
,-33.25,113.25
,-33.25,113.5
,-33.25,113.75
,-33.25,114.0
,-33.25,114.25
,-33.25,114.5
,-33.25,114.75
,-33.25,115.0
,-33.25,115.25
,-33.25,115.5
,-33.25,115.75
,-33.25,116.0
,-33.25,116.25
,-33.25,116.5
,-33.25,116.75
,-33.25,117.0
,-33.25,117.25
,-33.25,117.5
,-33.25,117.75
,-33.25,118.0
,-33.25,118.25
,-33.25,118.5
,-33.25,118.75
,-33.25,119.0
,-33.25,119.25
,-33.25,119.5
,-33.25,119.75
,-33.25,120.0
,-33.25,120.25
,-33.25,120.5
,-33.25,120.75
,-33.25,121.0
,-33.25,121.25
,-33.25,121.5
,-33.25,121.75
,-33.25,122.0
,-33.25,122.25
,-33.25,122.5
,-33.25,122.75
,-33.25,123.0
,-33.25,123.25
,-33.25,123.5
,-33.25,123.75
,-33.25,124.0
,-33.5,113.0
,-33.5,113.25
,-33.5,113.5
,-33.5,113.75
,-33.5,114.0
,-33.5,114.25
,-33.5,114.5
,-33.5,114.75
,-33.5,115.0
,-33.5,115.25
,-33.5,115.5
,-33.5,115.75
,-33.5,116.0
,-33.5,116.25
,-33.5,116.5
,-33.5,116.75
,-33.5,117.0
,-33.5,117.25
,-33.5,117.5
,-33.5,117.75
,-33.5,118.0
,-33.5,118.25
,-33.5,118.5
,-33.5,118.75
,-33.5,119.0
,-33.5,119.25
,-33.5,119.5
,-33.5,119.75
,-33.5,120.0
,-33.5,120.25
,-33.5,120.5
,-33.5,120.75
,-33.5,121.0
,-33.5,121.25
,-33.5,121.5
,-33.5,121.75
,-33.5,122.0
,-33.5,122.25
,-33.5,122.5
,-33.5,122.75
,-33.5,123.0
,-33.5,123.25
,-33.5,123.5
,-33.5,123.75
,-33.5,124.0
,-33.75,113.0
